"gene_symbol","ensembl_id","gene_id"
"1700034J05Rik","ENSMUSP00000043802","ENSMUSG00000040163"
"1700034J05Rik","ENSMUSP00000107249","ENSMUSG00000040163"
"1700037C18Rik","ENSMUSP00000006139","ENSMUSG00000005983"
"1700037C18Rik","ENSMUSP00000111525","ENSMUSG00000005983"
"1700037C18Rik","ENSMUSP00000135766","ENSMUSG00000005983"
"1700037C18Rik","ENSMUSP00000134800","ENSMUSG00000005983"
"1700037C18Rik","ENSMUSP00000135233","ENSMUSG00000005983"
"1700037H04Rik","ENSMUSP00000138853","ENSMUSG00000027327"
"1700037H04Rik","ENSMUSP00000099477","ENSMUSG00000027327"
"1700037H04Rik","ENSMUSP00000139314","ENSMUSG00000027327"
"1700037H04Rik","ENSMUSP00000028800","ENSMUSG00000027327"
"1700037H04Rik","ENSMUSP00000115000","ENSMUSG00000027327"
"1700040F15Rik","ENSMUSP00000140263","ENSMUSG00000100667"
"1700042G07Rik","ENSMUSP00000102101","ENSMUSG00000078593"
"1700047I17Rik2","ENSMUSP00000137377","ENSMUSG00000094103"
"1700049E17Rik1","ENSMUSP00000093683","ENSMUSG00000079271"
"1700049E17Rik2","ENSMUSP00000130091","ENSMUSG00000090440"
"1700049E17Rik2","ENSMUSP00000107505","ENSMUSG00000090440"
"1700056E22Rik","ENSMUSP00000055787","ENSMUSG00000044854"
"1700057G04Rik","ENSMUSP00000117673","ENSMUSG00000074139"
"1700057G04Rik","ENSMUSP00000096077","ENSMUSG00000074139"
"1700057G04Rik","ENSMUSP00000139734","ENSMUSG00000074139"
"1700057G04Rik","ENSMUSP00000140686","ENSMUSG00000074139"
"1700061G19Rik","ENSMUSP00000025048","ENSMUSG00000024209"
"1700064H15Rik","ENSMUSP00000113751","ENSMUSG00000082766"
"1700066B19Rik","ENSMUSP00000095222","ENSMUSG00000073598"
"1700066M21Rik","ENSMUSP00000040240","ENSMUSG00000038323"
"1700067K01Rik","ENSMUSP00000062468","ENSMUSG00000046408"
"1700067K01Rik","ENSMUSP00000134486","ENSMUSG00000046408"
"1700067K01Rik","ENSMUSP00000134671","ENSMUSG00000046408"
"1700067P10Rik","ENSMUSP00000022028","ENSMUSG00000021545"
"1700067P10Rik","ENSMUSP00000156701","ENSMUSG00000021545"
"1700067P10Rik","ENSMUSP00000155810","ENSMUSG00000115934"
"1700067P10Rik","ENSMUSP00000156528","ENSMUSG00000115934"
"1700069L16Rik","ENSMUSP00000124273","ENSMUSG00000042184"
"1700069L16Rik","ENSMUSP00000047454","ENSMUSG00000042184"
"1700074P13Rik","ENSMUSP00000112987","ENSMUSG00000029883"
"1700074P13Rik","ENSMUSP00000031935","ENSMUSG00000029883"
"1700074P13Rik","ENSMUSP00000116538","ENSMUSG00000029883"
"1700080O16Rik","ENSMUSP00000033449","ENSMUSG00000031118"
"1700080O16Rik","ENSMUSP00000110516","ENSMUSG00000031118"
"1700084M14Rik","ENSMUSP00000077877","ENSMUSG00000057805"
"1700086D15Rik","ENSMUSP00000104336","ENSMUSG00000020548"
"1700086D15Rik","ENSMUSP00000020855","ENSMUSG00000020548"
"1700088E04Rik","ENSMUSP00000140978","ENSMUSG00000033029"
"1700088E04Rik","ENSMUSP00000140347","ENSMUSG00000033029"
"1700088E04Rik","ENSMUSP00000129244","ENSMUSG00000033029"
"1700088E04Rik","ENSMUSP00000140611","ENSMUSG00000033029"
"1700088E04Rik","ENSMUSP00000139884","ENSMUSG00000033029"
"1700088E04Rik","ENSMUSP00000139947","ENSMUSG00000033029"
"1700088E04Rik","ENSMUSP00000139736","ENSMUSG00000033029"
"1700088E04Rik","ENSMUSP00000139974","ENSMUSG00000033029"
"1700088E04Rik","ENSMUSP00000141129","ENSMUSG00000033029"
"1700088E04Rik","ENSMUSP00000140261","ENSMUSG00000033029"
"1700088E04Rik","ENSMUSP00000141080","ENSMUSG00000033029"
"1700092M07Rik","ENSMUSP00000130094","ENSMUSG00000090840"
"1700093K21Rik","ENSMUSP00000020527","ENSMUSG00000020286"
"1700093K21Rik","ENSMUSP00000123063","ENSMUSG00000020286"
"1700093K21Rik","ENSMUSP00000122399","ENSMUSG00000020286"
"1700093K21Rik","ENSMUSP00000131204","ENSMUSG00000020286"
"1700102P08Rik","ENSMUSP00000141566","ENSMUSG00000032611"
"1700102P08Rik","ENSMUSP00000035234","ENSMUSG00000032611"
"1700109H08Rik","ENSMUSP00000118797","ENSMUSG00000008307"
"1700109H08Rik","ENSMUSP00000008451","ENSMUSG00000008307"
"1700109H08Rik","ENSMUSP00000117825","ENSMUSG00000008307"
"1700109H08Rik","ENSMUSP00000121586","ENSMUSG00000008307"
"1700113H08Rik","ENSMUSP00000140447","ENSMUSG00000047129"
"1700113H08Rik","ENSMUSP00000130852","ENSMUSG00000047129"
"1700113H08Rik","ENSMUSP00000141184","ENSMUSG00000047129"
