gene_symbol,expr_val,ensembl_id
9430015G10Rik,0.0,10090.ENSMUSP00000131817
9430038I01Rik,0.0,10090.ENSMUSP00000112892
9430069I07Rik,0.0,10090.ENSMUSP00000154567
9530053A07Rik,0.0,10090.ENSMUSP00000114986
9530068E07Rik,0.0,10090.ENSMUSP00000104685
9530077C05Rik,0.0,10090.ENSMUSP00000149413
9830107B12Rik,0.0,10090.ENSMUSP00000156705
9930012K11Rik,0.0,10090.ENSMUSP00000061834
9930021J03Rik,0.0,10090.ENSMUSP00000135031
9930104L06Rik,0.0,10090.ENSMUSP00000154851
9930111J21Rik1,0.0,10090.ENSMUSP00000095102
9930111J21Rik2,0.0,10090.ENSMUSP00000090839
a,0.0,10090.ENSMUSP00000122157
A2m,0.0,10090.ENSMUSP00000032203
A3galt2,0.0,10090.ENSMUSP00000030585
A4galt,0.0,10090.ENSMUSP00000129719
A4gnt,0.0,10090.ENSMUSP00000045629
A130010J15Rik,0.0,10090.ENSMUSP00000124546
A230050P20Rik,0.0,10090.ENSMUSP00000045384
A430005L14Rik,0.0,10090.ENSMUSP00000054638
A430033K04Rik,0.0,10090.ENSMUSP00000032590
A430078G23Rik,0.0,10090.ENSMUSP00000146396
A530032D15Rik,0.0,10090.ENSMUSP00000123750
A530064D06Rik,3.0,10090.ENSMUSP00000156579
A630001G21Rik,0.0,10090.ENSMUSP00000124137
A630023A22Rik,0.0,10090.ENSMUSP00000137109
A630089N07Rik,0.0,10090.ENSMUSP00000156146
A630095E13Rik,0.0,10090.ENSMUSP00000091391
A730049H05Rik,0.0,10090.ENSMUSP00000051623
A830005F24Rik,0.0,10090.ENSMUSP00000069912
A830010M20Rik,0.0,10090.ENSMUSP00000149290
A830018L16Rik,0.0,10090.ENSMUSP00000119143
A930004D18Rik,0.0,10090.ENSMUSP00000066378
A930009A15Rik,0.0,10090.ENSMUSP00000134099
A930017K11Rik,0.0,10090.ENSMUSP00000125106
A930018P22Rik,0.0,10090.ENSMUSP00000044861
A930033H14Rik,0.0,10090.ENSMUSP00000126322
AA467197,0.0,10090.ENSMUSP00000117197
AA792892,0.0,10090.ENSMUSP00000095085
AA986860,0.0,10090.ENSMUSP00000046172
Aaas,0.0,10090.ENSMUSP00000155778
Aacs,0.0,10090.ENSMUSP00000031445
Aaed1,1.0,10090.ENSMUSP00000152238
Aagab,0.0,10090.ENSMUSP00000148887
Aak1,0.0,10090.ENSMUSP00000145013
Aamdc,0.0,10090.ENSMUSP00000116214
Aamp,0.0,10090.ENSMUSP00000139411
Aanat,0.0,10090.ENSMUSP00000021160
Aar2,0.0,10090.ENSMUSP00000114728
Aard,0.0,10090.ENSMUSP00000087479
Aars,0.0,10090.ENSMUSP00000122388
Aars2,0.0,10090.ENSMUSP00000024733
Aarsd1,0.0,10090.ENSMUSP00000067912
Aasdh,0.0,10090.ENSMUSP00000121050
Aasdhppt,0.0,10090.ENSMUSP00000148272
Aass,0.0,10090.ENSMUSP00000115079
Aatf,1.0,10090.ENSMUSP00000018841
Aatk,0.0,10090.ENSMUSP00000067181
AB124611,1.0,10090.ENSMUSP00000083547
Abat,0.0,10090.ENSMUSP00000063548
Abca1,0.0,10090.ENSMUSP00000030010
Abca2,0.0,10090.ENSMUSP00000099983
Abca3,0.0,10090.ENSMUSP00000113538
Abca4,0.0,10090.ENSMUSP00000013995
Abca5,0.0,10090.ENSMUSP00000118328
Abca6,0.0,10090.ENSMUSP00000035458
Abca7,1.0,10090.ENSMUSP00000115111
Abca8a,0.0,10090.ENSMUSP00000102273
Abca8b,0.0,10090.ENSMUSP00000102280
Abca9,0.0,10090.ENSMUSP00000036338
Abca13,0.0,10090.ENSMUSP00000040465
Abca16,0.0,10090.ENSMUSP00000061094
Abca17,0.0,10090.ENSMUSP00000046218
Abcb1a,0.0,10090.ENSMUSP00000041204
Abcb1b,0.0,10090.ENSMUSP00000143612
Abcb4,0.0,10090.ENSMUSP00000142425
Abcb6,0.0,10090.ENSMUSP00000124630
Abcb7,0.0,10090.ENSMUSP00000033695
Abcb8,0.0,10090.ENSMUSP00000143193
Abcb9,0.0,10090.ENSMUSP00000118908
Abcb10,0.0,10090.ENSMUSP00000075011
Abcb11,0.0,10090.ENSMUSP00000099771
Abcc1,1.0,10090.ENSMUSP00000115627
Abcc2,0.0,10090.ENSMUSP00000026208
Abcc3,0.0,10090.ENSMUSP00000021231
Abcc4,1.0,10090.ENSMUSP00000042186
Abcc5,0.0,10090.ENSMUSP00000077031
Abcc6,0.0,10090.ENSMUSP00000147676
Abcc8,0.0,10090.ENSMUSP00000148198
Abcc9,0.0,10090.ENSMUSP00000084805
Abcc10,0.0,10090.ENSMUSP00000132760
Abcc12,0.0,10090.ENSMUSP00000079014
Abcd1,0.0,10090.ENSMUSP00000002084
Abcd2,0.0,10090.ENSMUSP00000068940
Abcd3,0.0,10090.ENSMUSP00000029770
Abcd4,0.0,10090.ENSMUSP00000021666
Abce1,0.0,10090.ENSMUSP00000079379
Abcf1,0.0,10090.ENSMUSP00000036881
Abcf2,0.0,10090.ENSMUSP00000030795
Abcf3,0.0,10090.ENSMUSP00000156056
Abcg1,0.0,10090.ENSMUSP00000157940
Abcg2,0.0,10090.ENSMUSP00000138703
Abcg3,0.0,10090.ENSMUSP00000031239
Abcg4,0.0,10090.ENSMUSP00000034648
Abhd2,0.0,10090.ENSMUSP00000038361
Abhd3,0.0,10090.ENSMUSP00000116037
Abhd4,0.0,10090.ENSMUSP00000137214
Abhd5,0.0,10090.ENSMUSP00000122274
Abhd6,0.0,10090.ENSMUSP00000129169
Abhd8,0.0,10090.ENSMUSP00000008094
Abhd10,0.0,10090.ENSMUSP00000120653
Abhd11,0.0,10090.ENSMUSP00000144595
Abhd12,3.0,10090.ENSMUSP00000053558
Abhd12b,0.0,10090.ENSMUSP00000138185
Abhd13,0.0,10090.ENSMUSP00000116130
Abhd14a,0.0,10090.ENSMUSP00000126101
Abhd14b,1.0,10090.ENSMUSP00000149469
Abhd15,0.0,10090.ENSMUSP00000117776
Abhd16a,0.0,10090.ENSMUSP00000007251
Abhd16b,0.0,10090.ENSMUSP00000066520
Abhd17a,0.0,10090.ENSMUSP00000141177
Abhd17b,0.0,10090.ENSMUSP00000056099
Abhd17c,0.0,10090.ENSMUSP00000112988
Abhd18,0.0,10090.ENSMUSP00000103713
Abi1,2.0,10090.ENSMUSP00000088957
Abi2,0.0,10090.ENSMUSP00000139867
Abi3,0.0,10090.ENSMUSP00000061893
Abi3bp,0.0,10090.ENSMUSP00000156155
Abl1,0.0,10090.ENSMUSP00000141320
Abl2,2.0,10090.ENSMUSP00000133381
Ablim1,0.0,10090.ENSMUSP00000078336
Ablim2,0.0,10090.ENSMUSP00000109848
Ablim3,0.0,10090.ENSMUSP00000041243
Abr,1.0,10090.ENSMUSP00000135544
Abra,0.0,10090.ENSMUSP00000051973
Abracl,2.0,10090.ENSMUSP00000020002
Abraxas1,0.0,10090.ENSMUSP00000055895
Abraxas2,1.0,10090.ENSMUSP00000120309
Abt1,0.0,10090.ENSMUSP00000045888
Abtb1,0.0,10090.ENSMUSP00000032169
Abtb2,0.0,10090.ENSMUSP00000075566
Acaa1a,0.0,10090.ENSMUSP00000134981
Acaa1b,0.0,10090.ENSMUSP00000010795
Acaa2,0.0,10090.ENSMUSP00000037348
Acaca,0.0,10090.ENSMUSP00000117972
Acacb,0.0,10090.ENSMUSP00000115432
Acad8,0.0,10090.ENSMUSP00000112908
Acad9,0.0,10090.ENSMUSP00000011492
Acad10,0.0,10090.ENSMUSP00000107400
Acad11,0.0,10090.ENSMUSP00000112994
Acad12,0.0,10090.ENSMUSP00000121904
Acadl,0.0,10090.ENSMUSP00000027153
Acadm,0.0,10090.ENSMUSP00000122989
Acads,0.0,10090.ENSMUSP00000031524
Acadsb,0.0,10090.ENSMUSP00000146461
Acadvl,0.0,10090.ENSMUSP00000018718
Acan,0.0,10090.ENSMUSP00000032835
Acap1,0.0,10090.ENSMUSP00000104262
Acap2,1.0,10090.ENSMUSP00000061501
Acap3,0.0,10090.ENSMUSP00000078040
Acat1,0.0,10090.ENSMUSP00000034547
Acat2,0.0,10090.ENSMUSP00000156406
Acat3,0.0,10090.ENSMUSP00000125454
Acbd3,0.0,10090.ENSMUSP00000027780
Acbd4,0.0,10090.ENSMUSP00000090220
Acbd5,1.0,10090.ENSMUSP00000110172
Acbd6,1.0,10090.ENSMUSP00000079035
Acbd7,0.0,10090.ENSMUSP00000154392
Accs,0.0,10090.ENSMUSP00000114687
Acd,0.0,10090.ENSMUSP00000148285
Ace,2.0,10090.ENSMUSP00000001964
Ace2,0.0,10090.ENSMUSP00000123313
Acer1,0.0,10090.ENSMUSP00000062037
Acer2,0.0,10090.ENSMUSP00000081473
Acer3,0.0,10090.ENSMUSP00000120334
Ache,0.0,10090.ENSMUSP00000142427
Acin1,1.0,10090.ENSMUSP00000114546
Ackr1,0.0,10090.ENSMUSP00000045134
Ackr2,0.0,10090.ENSMUSP00000050119
Ackr3,0.0,10090.ENSMUSP00000069114
Ackr4,0.0,10090.ENSMUSP00000140792
Acly,1.0,10090.ENSMUSP00000127632
Acmsd,0.0,10090.ENSMUSP00000048482
Acnat1,0.0,10090.ENSMUSP00000103325
Acnat2,0.0,10090.ENSMUSP00000119135
Aco1,0.0,10090.ENSMUSP00000100038
Aco2,0.0,10090.ENSMUSP00000155234
Acod1,0.0,10090.ENSMUSP00000022722
Acot1,0.0,10090.ENSMUSP00000126448
Acot2,0.0,10090.ENSMUSP00000021649
Acot4,0.0,10090.ENSMUSP00000152805
Acot5,0.0,10090.ENSMUSP00000042019
Acot6,0.0,10090.ENSMUSP00000056131
Acot7,0.0,10090.ENSMUSP00000074827
Acot8,1.0,10090.ENSMUSP00000133718
Acot9,0.0,10090.ENSMUSP00000138519
Acot10,0.0,10090.ENSMUSP00000051333
Acot11,0.0,10090.ENSMUSP00000124385
Acot12,0.0,10090.ENSMUSP00000022120
Acot13,0.0,10090.ENSMUSP00000006900
Acox1,0.0,10090.ENSMUSP00000072717
Acox3,0.0,10090.ENSMUSP00000109876
Acoxl,0.0,10090.ENSMUSP00000028859
Acp1,1.0,10090.ENSMUSP00000073686
Acp2,0.0,10090.ENSMUSP00000002172
Acp4,0.0,10090.ENSMUSP00000103578
Acp5,0.0,10090.ENSMUSP00000150903
Acp6,0.0,10090.ENSMUSP00000088263
Acpp,0.0,10090.ENSMUSP00000108209
Acr,0.0,10090.ENSMUSP00000023295
Acrbp,0.0,10090.ENSMUSP00000108033
Acsbg1,0.0,10090.ENSMUSP00000118133
Acsf2,0.0,10090.ENSMUSP00000099453
Acsf3,0.0,10090.ENSMUSP00000148725
Acsl1,1.0,10090.ENSMUSP00000114473
Acsl3,0.0,10090.ENSMUSP00000045291
Acsl4,0.0,10090.ENSMUSP00000108524
Acsl5,0.0,10090.ENSMUSP00000046585
Acsl6,0.0,10090.ENSMUSP00000000145
Acss1,0.0,10090.ENSMUSP00000028944
Acss2,0.0,10090.ENSMUSP00000116501
Acss3,0.0,10090.ENSMUSP00000128209
Acta1,0.0,10090.ENSMUSP00000034453
Acta2,0.0,10090.ENSMUSP00000048218
Actb,140.0,10090.ENSMUSP00000132135
Actc1,0.0,10090.ENSMUSP00000123370
Actg1,58.0,10090.ENSMUSP00000134070
Actg2,0.0,10090.ENSMUSP00000146302
Actl6a,1.0,10090.ENSMUSP00000141354
Actl6b,0.0,10090.ENSMUSP00000143702
Actl7b,0.0,10090.ENSMUSP00000092693
