gene_symbol,ensembl_id
2310022A10Rik,10090.ENSMUSP00000141195
2310022A10Rik,10090.ENSMUSP00000139696
2310022A10Rik,10090.ENSMUSP00000066803
2310022A10Rik,10090.ENSMUSP00000140651
2310022B05Rik,10090.ENSMUSP00000034464
2310026L22Rik,10090.-
2310030G06Rik,10090.ENSMUSP00000034564
2310030G06Rik,10090.
2310031A07Rik,10090.-
2310033P09Rik,10090.ENSMUSP00000020719
2310034G01Rik,10090.-
2310034O05Rik,10090.
2310035C23Rik,10090.-
2310039H08Rik,10090.ENSMUSP00000071378
2310040G07Rik,10090.-
2310040G24Rik,10090.
2310043L19Rik,10090.
2310043M15Rik,10090.-
2310043O21Rik,10090.
2310044K18Rik,10090.-
2310047D07Rik,10090.-
2310057M21Rik,10090.ENSMUSP00000050128
2310057M21Rik,10090.ENSMUSP00000147153
2310057M21Rik,10090.
2310057M21Rik,10090.ENSMUSP00000146800
2310057M21Rik,10090.ENSMUSP00000147242
2310061I04Rik,10090.ENSMUSP00000115771
2310061I04Rik,10090.ENSMUSP00000123547
2310061I04Rik,10090.ENSMUSP00000121142
2310061I04Rik,10090.
2310061I04Rik,10090.ENSMUSP00000114151
2310061I04Rik,10090.ENSMUSP00000114851
2310061I04Rik,10090.ENSMUSP00000116278
2310061I04Rik,10090.ENSMUSP00000050693
2310065F04Rik,10090.
2310067P03Rik,10090.-
2310068J16Rik,10090.
2310069B03Rik,10090.
2310074N15Rik,10090.-
2310081O03Rik,10090.-
2410002F23Rik,10090.ENSMUSP00000139441
2410002F23Rik,10090.ENSMUSP00000103581
2410002F23Rik,10090.ENSMUSP00000119445
2410002F23Rik,10090.ENSMUSP00000139913
2410002F23Rik,10090.ENSMUSP00000141077
2410002F23Rik,10090.ENSMUSP00000116980
2410002F23Rik,10090.ENSMUSP00000117318
2410002F23Rik,10090.
2410002F23Rik,10090.ENSMUSP00000095894
2410002F23Rik,10090.ENSMUSP00000140017
2410002F23Rik,10090.ENSMUSP00000103582
2410002F23Rik,10090.ENSMUSP00000140200
2410002F23Rik,10090.ENSMUSP00000103584
2410002F23Rik,10090.ENSMUSP00000071265
2410002F23Rik,10090.ENSMUSP00000139694
2410002F23Rik,10090.ENSMUSP00000103583
2410004B18Rik,10090.
2410004B18Rik,10090.ENSMUSP00000118224
2410004B18Rik,10090.ENSMUSP00000140015
2410004B18Rik,10090.ENSMUSP00000119149
2410004B18Rik,10090.ENSMUSP00000045376
2410004B18Rik,10090.ENSMUSP00000140075
2410004I01Rik,10090.
2410004P03Rik,10090.ENSMUSP00000140028
2410004P03Rik,10090.ENSMUSP00000093503
