gene_symbol,ensembl_id
9330020H09Rik,-
9330102E08Rik,
9330104G04Rik,
9330111N05Rik,
9330121J05Rik,-
9330136K24Rik,
9330158H04Rik,
9330159F19Rik,ENSMUSP00000151062
9330160F10Rik,-
9330161L09Rik,-
9330175E14Rik,-
9330179D12Rik,
9330182L06Rik,ENSMUSP00000069165
9330198I05Rik,-
9330198N18Rik,-
9430002A10Rik,-
9430015G10Rik,ENSMUSP00000131817
9430037G07Rik,
9430038I01Rik,ENSMUSP00000112892
9430041J12Rik,
9430060I03Rik,
9430065F17Rik,
9430078K24Rik,
9430085M18Rik,-
9430098F02Rik,-
9530020I12Rik,
9530026P05Rik,
9530027J09Rik,
9530034E10Rik,-
9530036O11Rik,
9530046B11Rik,-
9530059O14Rik,
9530068E07Rik,ENSMUSP00000104685
9530077C05Rik,ENSMUSP00000149413
9530082P21Rik,
9630001P10Rik,
9630002D21Rik,-
9630013K17Rik,
9630028B13Rik,
9830107B12Rik,ENSMUSP00000156705
9930004E17Rik,-
9930012K11Rik,ENSMUSP00000061834
9930021J03Rik,ENSMUSP00000135031
9930022D16Rik,-
9930038B18Rik,
9930104L06Rik,ENSMUSP00000154851
9930111J21Rik1,ENSMUSP00000095102
9930111J21Rik2,ENSMUSP00000090839
a,ENSMUSP00000122157
A030001D20Rik,
A030005L19Rik,-
A030014E15Rik,-
A130010J15Rik,ENSMUSP00000124546
A130051J06Rik,-
A130077B15Rik,
A1cf,ENSMUSP00000153397
A230001M10Rik,
A230020J21Rik,
A230028O05Rik,
A230050P20Rik,ENSMUSP00000045384
A230057D06Rik,
A230060F14Rik,-
A230065N10Rik,-
A230072E10Rik,
A230083G16Rik,
A230083N12Rik,-
A230087F16Rik,-
A230098N10Rik,-
A2m,ENSMUSP00000032203
A330009N23Rik,
A330015K06Rik,
A330035P11Rik,-
A330041J22Rik,
A330049N07Rik,
A330069E16Rik,
A330076C08Rik,
A330084C13Rik,-
A330087D11Rik,-
A330102I10Rik,
A3galt2,ENSMUSP00000030585
A430005L14Rik,ENSMUSP00000054638
A430027H14Rik,-
A430033K04Rik,ENSMUSP00000032590
A430046D13Rik,
A430057M04Rik,
A430073D23Rik,-
A430078G23Rik,ENSMUSP00000146396
A430078I02Rik,
A430090L17Rik,
A430105I19Rik,-
A430105J06Rik,-
A430106G13Rik,-
A430110L20Rik,
A4galt,ENSMUSP00000129719
A530001N23Rik,
A530010F05Rik,-
A530010L16Rik,-
A530013C23Rik,
A530017D24Rik,-
A530020G20Rik,-
A530032D15Rik,ENSMUSP00000123750
A530040E14Rik,-
A530046M15Rik,
A530053M12Rik,-
A530064D06Rik,ENSMUSP00000156579
A530095I07Rik,-
A530099J19Rik,-
A630001G21Rik,ENSMUSP00000124137
A630001O12Rik,-
A630010A05Rik,-
A630014C17Rik,-
A630023A22Rik,ENSMUSP00000137109
A630023P12Rik,
A630072M18Rik,
A630089N07Rik,ENSMUSP00000156146
A630091E08Rik,-
A730004F24Rik,
A730011C13Rik,-
A730015C16Rik,-
A730020M07Rik,
A730035I17Rik,-
A730036I17Rik,
A730043L09Rik,
A730049H05Rik,ENSMUSP00000051623
A730056A06Rik,
A730061H03Rik,-
A730063M14Rik,
A730071L15Rik,-
A730081D07Rik,-
A730090N16Rik,-
A830005F24Rik,ENSMUSP00000069912
A830008E24Rik,-
A830009L08Rik,
A830010M20Rik,ENSMUSP00000149290
A830019P07Rik,
A830035O19Rik,
A830052D11Rik,-
A830082K12Rik,-
A930004D18Rik,ENSMUSP00000066378
A930006I01Rik,
A930006L05Rik,-
A930007I19Rik,
A930012L18Rik,
A930014D07Rik,-
A930015D03Rik,-
A930016O22Rik,
A930017K11Rik,ENSMUSP00000125106
A930018P22Rik,ENSMUSP00000044861
A930024E05Rik,
A930028N01Rik,-
A930029G22Rik,-
A930033H14Rik,ENSMUSP00000126322
A930033M14Rik,-
A930038B10Rik,-
A930104D05Rik,-
AA467197,ENSMUSP00000117197
AA543186,
AA792892,ENSMUSP00000095085
AA986860,ENSMUSP00000046172
Aaas,ENSMUSP00000155778
Aacs,ENSMUSP00000031445
Aaed1,ENSMUSP00000152238
Aagab,ENSMUSP00000148887
Aak1,ENSMUSP00000145013
Aamdc,ENSMUSP00000116214
Aamp,ENSMUSP00000139411
Aanat,ENSMUSP00000021160
Aar2,ENSMUSP00000114728
Aard,ENSMUSP00000087479
Aars,ENSMUSP00000122388
Aars2,ENSMUSP00000024733
Aarsd1,ENSMUSP00000067912
Aasdh,ENSMUSP00000121050
Aasdhppt,ENSMUSP00000148272
Aass,ENSMUSP00000115079
Aatf,ENSMUSP00000018841
Aatk,ENSMUSP00000067181
AB041806,-
AB124611,ENSMUSP00000083547
Abat,ENSMUSP00000063548
Abca1,ENSMUSP00000030010
Abca13,ENSMUSP00000040465
Abca17,ENSMUSP00000046218
Abca2,ENSMUSP00000099983
Abca3,ENSMUSP00000113538
Abca4,ENSMUSP00000013995
Abca5,ENSMUSP00000118328
Abca6,ENSMUSP00000035458
Abca7,ENSMUSP00000115111
Abca8a,ENSMUSP00000102273
Abca8b,ENSMUSP00000102280
Abca9,ENSMUSP00000036338
Abcb10,ENSMUSP00000075011
Abcb11,ENSMUSP00000099771
Abcb1a,ENSMUSP00000041204
Abcb1b,ENSMUSP00000143612
Abcb4,ENSMUSP00000142425
Abcb6,ENSMUSP00000124630
Abcb7,ENSMUSP00000033695
Abcb8,ENSMUSP00000143193
Abcb9,ENSMUSP00000118908
Abcc1,ENSMUSP00000115627
Abcc10,ENSMUSP00000132760
Abcc3,ENSMUSP00000021231
Abcc4,ENSMUSP00000042186
Abcc5,ENSMUSP00000077031
Abcc6,ENSMUSP00000147676
Abcc8,ENSMUSP00000148198
Abcc9,ENSMUSP00000084805
Abcd1,ENSMUSP00000002084
Abcd2,ENSMUSP00000068940
Abcd3,ENSMUSP00000029770
Abcd4,ENSMUSP00000021666
Abce1,ENSMUSP00000079379
Abcf1,ENSMUSP00000036881
Abcf2,ENSMUSP00000030795
Abcf3,ENSMUSP00000156056
Abcg1,ENSMUSP00000157940
Abcg2,ENSMUSP00000138703
Abcg3,ENSMUSP00000031239
Abcg4,ENSMUSP00000034648
Abhd10,ENSMUSP00000120653
Abhd11,ENSMUSP00000144595
Abhd12,ENSMUSP00000053558
Abhd12b,ENSMUSP00000138185
Abhd13,ENSMUSP00000116130
Abhd14a,ENSMUSP00000126101
Abhd14b,ENSMUSP00000149469
Abhd15,ENSMUSP00000117776
Abhd16a,ENSMUSP00000007251
Abhd17a,ENSMUSP00000141177
Abhd17b,ENSMUSP00000056099
Abhd17c,ENSMUSP00000112988
Abhd18,ENSMUSP00000103713
Abhd2,ENSMUSP00000038361
Abhd3,ENSMUSP00000116037
Abhd4,ENSMUSP00000137214
Abhd5,ENSMUSP00000122274
Abhd6,ENSMUSP00000129169
Abhd8,ENSMUSP00000008094
Abi1,ENSMUSP00000088957
Abi2,ENSMUSP00000139867
Abi3,ENSMUSP00000061893
Abi3bp,ENSMUSP00000156155
Abl1,ENSMUSP00000141320
Abl2,ENSMUSP00000133381
Ablim1,ENSMUSP00000078336
Ablim2,ENSMUSP00000109848
Ablim3,ENSMUSP00000041243
Abr,ENSMUSP00000135544
Abra,ENSMUSP00000051973
Abracl,ENSMUSP00000020002
